date,Guido Westerwelle,Angela Merkel,isPartial
2015-10-18,0,10,False
2015-10-25,0,9,False
2015-11-01,2,10,False
2015-11-08,11,14,False
2015-11-15,1,17,False
2015-11-22,0,13,False
2015-11-29,0,8,False
2015-12-06,2,27,False
2015-12-13,0,15,False
2015-12-20,0,9,False
2015-12-27,0,9,False
2016-01-03,0,12,False
2016-01-10,0,12,False
2016-01-17,0,11,False
2016-01-24,0,11,False
2016-01-31,0,7,False
2016-02-07,0,9,False
2016-02-14,0,9,False
2016-02-21,0,6,False
2016-02-28,0,9,False
2016-03-06,1,13,False
2016-03-13,100,13,False
2016-03-20,13,8,False
2016-03-27,10,6,False
2016-04-03,7,6,False
2016-04-10,1,7,False
2016-04-17,1,7,False
2016-04-24,0,7,False
2016-05-01,0,6,False
2016-05-08,0,5,False
2016-05-15,0,6,False
2016-05-22,0,5,False
2016-05-29,0,9,False
2016-06-05,1,6,False
2016-06-12,0,4,False
2016-06-19,0,12,False
2016-06-26,0,14,False
2016-07-03,0,6,False
2016-07-10,0,9,False
2016-07-17,0,13,False
2016-07-24,0,14,False
2016-07-31,0,7,False
2016-08-07,0,5,False
2016-08-14,0,7,False
2016-08-21,0,7,False
2016-08-28,0,8,False
2016-09-04,0,11,False
2016-09-11,0,6,False
2016-09-18,0,10,False
2016-09-25,0,6,False
2016-10-02,0,7,False
2016-10-09,0,5,False
2016-10-16,0,6,False
2016-10-23,0,6,False
2016-10-30,0,5,False
2016-11-06,1,19,False
2016-11-13,0,15,False
2016-11-20,1,25,False
2016-11-27,1,8,False
2016-12-04,2,15,False
2016-12-11,0,11,False
2016-12-18,1,18,False
2016-12-25,2,8,False
2017-01-01,0,6,False
2017-01-08,0,5,False
2017-01-15,0,9,False
2017-01-22,0,8,False
2017-01-29,0,13,False
2017-02-05,0,11,False
2017-02-12,0,11,False
2017-02-19,0,7,False
2017-02-26,0,6,False
2017-03-05,0,8,False
2017-03-12,1,45,False
2017-03-19,0,29,False
2017-03-26,0,12,False
2017-04-02,0,7,False
2017-04-09,0,6,False
2017-04-16,0,5,False
2017-04-23,0,8,False
2017-04-30,0,8,False
2017-05-07,0,9,False
2017-05-14,1,14,False
2017-05-21,0,10,False
2017-05-28,0,22,False
2017-06-04,0,11,False
2017-06-11,0,10,False
2017-06-18,0,6,False
2017-06-25,0,12,False
2017-07-02,0,17,False
2017-07-09,0,13,False
2017-07-16,0,10,False
2017-07-23,0,6,False
2017-07-30,0,5,False
2017-08-06,0,7,False
2017-08-13,0,11,False
2017-08-20,0,10,False
2017-08-27,0,10,False
2017-09-03,0,21,False
2017-09-10,0,17,False
2017-09-17,1,30,False
2017-09-24,1,59,False
2017-10-01,0,11,False
2017-10-08,0,7,False
2017-10-15,0,7,False
2017-10-22,0,5,False
2017-10-29,0,6,False
2017-11-05,0,6,False
2017-11-12,0,7,False
2017-11-19,1,18,False
2017-11-26,0,10,False
2017-12-03,0,7,False
2017-12-10,0,6,False
2017-12-17,0,5,False
2017-12-24,0,7,False
2017-12-31,0,7,False
2018-01-07,0,9,False
2018-01-14,0,7,False
2018-01-21,0,7,False
2018-01-28,0,5,False
2018-02-04,0,8,False
2018-02-11,0,8,False
2018-02-18,0,7,False
2018-02-25,0,9,False
2018-03-04,0,8,False
2018-03-11,0,13,False
2018-03-18,0,8,False
2018-03-25,0,5,False
2018-04-01,0,5,False
2018-04-08,0,5,False
2018-04-15,0,5,False
2018-04-22,0,9,False
2018-04-29,0,5,False
2018-05-06,0,5,False
2018-05-13,0,6,False
2018-05-20,0,5,False
2018-05-27,0,5,True
