date,Cem Özdemir,Angela Merkel,isPartial
2015-01-25,0,12,False
2015-02-01,1,22,False
2015-02-08,0,26,False
2015-02-15,1,13,False
2015-02-22,1,10,False
2015-03-01,1,10,False
2015-03-08,1,9,False
2015-03-15,1,10,False
2015-03-22,0,16,False
2015-03-29,0,8,False
2015-04-05,0,10,False
2015-04-12,1,10,False
2015-04-19,1,9,False
2015-04-26,1,10,False
2015-05-03,0,9,False
2015-05-10,0,8,False
2015-05-17,1,6,False
2015-05-24,1,14,False
2015-05-31,0,11,False
2015-06-07,0,18,False
2015-06-14,0,8,False
2015-06-21,0,22,False
2015-06-28,0,17,False
2015-07-05,0,29,False
2015-07-12,0,47,False
2015-07-19,0,18,False
2015-07-26,1,15,False
2015-08-02,1,10,False
2015-08-09,0,8,False
2015-08-16,0,14,False
2015-08-23,1,14,False
2015-08-30,1,18,False
2015-09-06,1,25,False
2015-09-13,1,25,False
2015-09-20,1,23,False
2015-09-27,1,19,False
2015-10-04,1,31,False
2015-10-11,1,16,False
2015-10-18,1,17,False
2015-10-25,0,15,False
2015-11-01,1,17,False
2015-11-08,1,24,False
2015-11-15,4,28,False
2015-11-22,2,21,False
2015-11-29,1,14,False
2015-12-06,1,45,False
2015-12-13,1,25,False
2015-12-20,0,14,False
2015-12-27,0,15,False
2016-01-03,1,20,False
2016-01-10,1,20,False
2016-01-17,1,19,False
2016-01-24,0,18,False
2016-01-31,1,12,False
2016-02-07,0,15,False
2016-02-14,1,14,False
2016-02-21,1,11,False
2016-02-28,2,15,False
2016-03-06,1,22,False
2016-03-13,1,21,False
2016-03-20,1,13,False
2016-03-27,0,11,False
2016-04-03,0,10,False
2016-04-10,1,11,False
2016-04-17,1,12,False
2016-04-24,1,12,False
2016-05-01,0,11,False
2016-05-08,0,9,False
2016-05-15,1,11,False
2016-05-22,1,8,False
2016-05-29,12,15,False
2016-06-05,12,10,False
2016-06-12,2,8,False
2016-06-19,0,21,False
2016-06-26,1,23,False
2016-07-03,0,10,False
2016-07-10,1,15,False
2016-07-17,2,23,False
2016-07-24,2,24,False
2016-07-31,1,12,False
2016-08-07,1,8,False
2016-08-14,1,12,False
2016-08-21,0,13,False
2016-08-28,1,14,False
2016-09-04,1,19,False
2016-09-11,0,9,False
2016-09-18,1,16,False
2016-09-25,1,11,False
2016-10-02,1,11,False
2016-10-09,0,8,False
2016-10-16,0,9,False
2016-10-23,1,10,False
2016-10-30,1,8,False
2016-11-06,1,32,False
2016-11-13,1,26,False
2016-11-20,0,42,False
2016-11-27,1,13,False
2016-12-04,0,25,False
2016-12-11,1,18,False
2016-12-18,1,31,False
2016-12-25,0,13,False
2017-01-01,1,9,False
2017-01-08,1,9,False
2017-01-15,3,15,False
2017-01-22,1,13,False
2017-01-29,1,23,False
2017-02-05,0,19,False
2017-02-12,1,18,False
2017-02-19,1,12,False
2017-02-26,1,10,False
2017-03-05,2,13,False
2017-03-12,33,76,False
2017-03-19,1,49,False
2017-03-26,2,20,False
2017-04-02,1,11,False
2017-04-09,0,11,False
2017-04-16,2,9,False
2017-04-23,1,14,False
2017-04-30,0,14,False
2017-05-07,1,16,False
2017-05-14,1,24,False
2017-05-21,1,17,False
2017-05-28,0,37,False
2017-06-04,1,19,False
2017-06-11,1,17,False
2017-06-18,1,10,False
2017-06-25,0,20,False
2017-07-02,1,28,False
2017-07-09,2,22,False
2017-07-16,3,16,False
2017-07-23,1,10,False
2017-07-30,2,9,False
2017-08-06,2,11,False
2017-08-13,2,19,False
2017-08-20,3,18,False
2017-08-27,4,17,False
2017-09-03,6,35,False
2017-09-10,6,28,False
2017-09-17,7,51,False
2017-09-24,13,100,False
2017-10-01,2,19,False
2017-10-08,2,11,False
2017-10-15,1,12,False
2017-10-22,2,9,False
2017-10-29,2,10,False
2017-11-05,1,10,False
2017-11-12,2,12,False
2017-11-19,4,30,False
2017-11-26,1,17,False
2017-12-03,1,11,False
2017-12-10,2,11,False
2017-12-17,0,9,False
2017-12-24,1,11,False
2017-12-31,1,12,False
2018-01-07,2,16,False
2018-01-14,1,11,False
2018-01-21,2,11,False
2018-01-28,1,9,False
2018-02-04,1,14,False
2018-02-11,1,14,False
2018-02-18,10,11,False
2018-02-25,5,15,False
2018-03-04,1,14,False
2018-03-11,1,23,False
2018-03-18,1,13,False
2018-03-25,1,8,False
2018-04-01,0,8,False
2018-04-08,1,9,False
2018-04-15,0,8,False
2018-04-22,0,15,False
2018-04-29,0,8,False
2018-05-06,0,8,False
2018-05-13,1,10,False
2018-05-20,0,9,False
2018-05-27,0,9,True
