date,Wilfried Oellers,Angela Merkel,isPartial
2016-12-25,0,13,False
2017-01-01,0,9,False
2017-01-08,0,9,False
2017-01-15,0,15,False
2017-01-22,0,13,False
2017-01-29,0,23,False
2017-02-05,0,19,False
2017-02-12,0,18,False
2017-02-19,0,12,False
2017-02-26,0,10,False
2017-03-05,0,13,False
2017-03-12,0,76,False
2017-03-19,0,49,False
2017-03-26,0,20,False
2017-04-02,0,11,False
2017-04-09,0,11,False
2017-04-16,0,9,False
2017-04-23,0,14,False
2017-04-30,0,14,False
2017-05-07,0,16,False
2017-05-14,0,24,False
2017-05-21,0,17,False
2017-05-28,0,37,False
2017-06-04,0,19,False
2017-06-11,0,17,False
2017-06-18,0,10,False
2017-06-25,0,20,False
2017-07-02,0,28,False
2017-07-09,0,22,False
2017-07-16,0,16,False
2017-07-23,0,10,False
2017-07-30,0,9,False
2017-08-06,0,11,False
2017-08-13,0,19,False
2017-08-20,0,18,False
2017-08-27,0,17,False
2017-09-03,0,35,False
2017-09-10,0,28,False
2017-09-17,0,51,False
2017-09-24,0,100,False
2017-10-01,0,19,False
2017-10-08,0,11,False
2017-10-15,0,12,False
2017-10-22,0,9,False
2017-10-29,0,10,False
2017-11-05,0,10,False
2017-11-12,0,12,False
2017-11-19,0,30,False
2017-11-26,0,17,False
2017-12-03,0,11,False
2017-12-10,0,11,False
2017-12-17,0,9,False
2017-12-24,0,11,False
2017-12-31,0,12,False
2018-01-07,0,16,False
2018-01-14,0,11,False
2018-01-21,0,11,False
2018-01-28,0,9,False
2018-02-04,0,14,False
2018-02-11,0,14,False
2018-02-18,0,11,False
2018-02-25,0,15,False
2018-03-04,0,14,False
2018-03-11,0,23,False
2018-03-18,0,13,False
2018-03-25,0,8,False
2018-04-01,0,8,False
2018-04-08,0,9,False
2018-04-15,0,8,False
2018-04-22,0,15,False
2018-04-29,0,8,False
2018-05-06,0,8,False
2018-05-13,0,10,False
2018-05-20,0,9,False
2018-05-27,0,9,True
