date,Sigmar Gabriel,Angela Merkel,isPartial
2018-02-04,18,15,False
2018-02-11,6,14,False
2018-02-18,2,12,False
2018-02-25,1,15,False
2018-03-04,8,15,False
2018-03-11,2,23,False
2018-03-18,1,13,False
2018-03-25,1,7,False
2018-04-01,1,8,False
2018-04-08,1,9,False
2018-04-15,1,8,False
2018-04-22,0,15,False
2018-04-29,0,9,False
2018-05-06,0,8,False
2018-05-13,1,9,False
2018-05-20,0,8,False
2018-05-27,0,8,True
